academicUnit,code,title,credit,webEnabled,levels,availableSeats,capacity,waitlistAvailable,mediumOfInstruction,detailAvailable
Public & Social Administration,GE1117,Music and Human Values: Philosophical Investigations,3,true,B,0,40,N,,true
Public & Social Administration,GE1118,Philosophy Goes to the Movies,3,true,B,8,40,N,,true
Public & Social Administration,GE1120,Thinking Philosophically: Bridging the Gap between Arts and Sciences,3,true,B,8,40,N,,true
Public & Social Administration,GE2233,Public Policy in Action,3,true,B,14,40,N,,true
Public & Social Administration,GE3203,Sustainable Development of Hong Kong,3,true,"A,B",34,40,N,,true
Systems Engg and Engg Mgt,GE2304,Innovation and Entrepreneurship for Young Professionals,3,true,B,4,46,N,,true
School of Creative Media,GE1102,Cinema: East and West,3,true,B,8,66,N,,true
School of Creative Media,GE1110,Exploring Contemporary Art,3,true,"A,B",9,25,N,,true
School of Creative Media,GE1113,Visual Literacy and Cultural Thinking,3,true,"A,B",5,50,N,,true
School of Creative Media,GE4102,"Video Game: History, Industry, Society, and Creativity",3,true,B,0,34,N,,true
Applied Social Sciences,GE2109,"Love, Sex, and Relationships: Psychological Perspectives",3,true,B,56,196,N,,true
Applied Social Sciences,GE2203,Psychology for Young Professionals,3,true,B,11,360,N,,true
Applied Social Sciences,GE2211,"Sexuality, Culture and Diversity",3,true,B,-1,159,N,,true
Applied Social Sciences,GE2218,Career Excellence in the 21st Century,3,true,B,8,80,N,,true
Applied Social Sciences,GE2221,Violence and Crime,3,true,B,4,101,N,,true
Applied Social Sciences,GE2223,Interpersonal Skills and Positive Personal Development,3,true,B,20,161,N,,true
Applied Social Sciences,GE2226,Ageing Society: Hong Kong and Beyond,3,true,B,1,50,N,,true
